CustomerID,Gender,Age,Annual Income (k$),Spending Score (1-100),Day,Hour,Arrival_Count,Payment_Method,Item_Purchased,Membership_Status,Duration_min,Entry time,Exit time,Avg_Item_Value,Total Spending
1,Male,19,15,39,Sunday,12,30,UPI,103,Gold,140,10:42:AM,01:02:PM,200,20600.0
2,Male,21,15,81,Wednesday,16,18,Card,111,Regular,122,04:15:PM,06:17:PM,88,9768.0
3,Mail,20,16,6,Monday,18,20,UPI,101,Gold,110,01:30:PM,03:20:PM,87,8787.0
4,Female,23,16,77,Saturday,11,19,Card,89,Regular,122,10:46:AM,12:48:PM,176,15664.0
5,Female,31,17,40,Thursday,10,18,UPI,105,Platinum,193,10:11:AM,01:24:PM,102,10710.0
6,Female,22,17,76,Thursday,16,17,Cash,98,Platinum,90,08:40:PM,10:10:PM,150,14700.0
7,Female,35,18,6,Friday,10,27,Card,84,Regular,196,09:20:AM,12:36:PM,65,5460.0
8,Female,23,18,94,Saturday,16,25,Card,111,Regular,122,07:14:PM,09:16:PM,81,8991.0
9,Male,64,19,3,Monday,9,19,UPI,110,Regular,11,11:01:AM,11:12:AM,100,11000.0
10,Female,30,19,72,Wednesday,9,21,Cash,86,Platinum,139,04:46:PM,07:05:PM,190,16340.0
11,Male,67,19,14,Monday,15,17,UPI,103,Regular,229,12:34:PM,04:23:PM,152,15656.0
12,Female,35,19,99,Monday,11,14,Cash,107,Gold,63,02:30:PM,03:33:PM,81,8667.0
13,Female,58,20,15,Sunday,17,23,Cash,99,Gold,96,04:38:PM,06:14:PM,91,9009.0
14,Feale,24,20,77,Friday,15,21,UPI,91,Gold,238,10:27:AM,02:25:PM,136,12376.0
15,Male,37,20,13,Wednesday,14,26,Cash,104,Platinum,233,03:12:PM,07:05:PM,180,
16,Male,22,20,79,Saturday,18,14,Cash,86,Platinum,234,10:39:AM,02:33:PM,168,14448.0
17,Female,35,21,35,Monday,12,18,Card,100,Platinum,138,08:03:PM,10:21:PM,83,8300.0
